episode,reward
1,-211.92956743271776
2,-170.8565501872359
3,-231.8243321385796
4,-74.88214900946795
5,-43.045174717337105
6,-169.07923214414467
7,-55.65782902297474
8,-92.74435196446458
9,-263.86755347509404
10,-529.3974994060492
11,-435.2592079584673
12,-142.89000130994685
13,-551.3016911615067
14,-153.21815652747395
15,-419.19796863087504
16,-137.99823111330522
17,-206.7358567678879
18,-340.4713963347348
19,-135.2695118017451
20,-113.90542746057162
21,-146.20922771218278
22,-74.89375089271937
23,-29.12586691569967
24,-21.73795314237605
25,-38.42730989945916
26,-33.36775348934823
27,-24.481752294982773
28,-34.546827765409795
29,-19.85514975694548
30,-26.877753840156767
31,-35.252427611604666
32,-100.62070187046463
33,-27.892420442048838
34,-63.119666328065485
35,-32.74610472386668
36,-33.726249277512565
37,-28.55210800333896
38,-31.267086742438945
39,-30.485507051260296
40,-56.60240703663655
41,-50.10952900813697
42,-19.270508987099774
43,-45.13740047474795
44,-26.33894257975133
45,-31.159893391033492
46,-21.398856342903798
47,-29.89922877717126
48,-18.873472807482273
49,-35.28886737031409
50,-32.81673627843521
51,-31.219479491893765
52,-201.40946250378056
53,-20.060412806802947
54,-35.440447125879984
55,-30.25906058928196
56,-29.042062642262543
57,-22.820903306475152
58,-24.129961853800037
59,-60.65490289685183
60,-28.723470572031296
61,-32.11496884165658
62,-21.09356191240371
63,-27.235063000963148
64,-21.340682687459992
65,-46.91687654520699
66,-14.622673630836967
67,-20.032720548966726
68,-21.52899166031213
69,-21.81592058444051
70,-15.972685407745061
71,-20.5576028618983
72,-13.409688047021161
73,-19.942163686860027
74,-20.697030588258137
75,-26.10708293135559
76,-21.139720744858913
77,-22.108490848994066
78,-162.36083243548146
79,-21.379728165667608
80,-17.95748108591473
81,-126.96382878487157
82,-40.30123657794214
83,-26.27970326332267
84,-19.23741810673492
85,-20.893321233764294
86,-51.06472599402099
87,-18.61582649320129
88,-42.47673588469421
89,-15.55974187296215
90,-15.937502541695542
91,-16.54722564977428
92,-15.328171784945551
93,-19.55048894570924
94,-13.527423968039752
95,-18.357786568133474
96,-14.921049274022709
97,-29.021631636289946
98,-16.195161514668413
99,-13.960089620049315
100,-16.751977308140685
101,-173.48131904049677
102,-178.24400269206672
103,-148.48768353644357
104,-16.123212595542928
105,-15.248653674175383
106,-31.660666777766924
107,-12.791142506258376
108,-17.809656573318463
109,-68.89869147984723
110,-13.997904544592222
111,-25.54189111774751
112,-16.176849880282393
113,-16.44388693813434
114,-10.403500388992692
115,-21.369673114995777
116,-10.177631525885868
117,-13.308413832356607
118,-126.46871054327575
119,-131.45463978336463
120,-17.5411950097923
121,-13.975102868009913
122,-10.875803204529646
123,-19.70170097617732
124,-11.06622386365302
125,-14.579948987576639
126,-13.066654458946777
127,-12.63921990843226
128,-11.914711939537844
129,-13.656266315320256
130,-183.35337896092793
131,-28.5295385557216
132,-132.640746173753
133,-132.5469539283903
134,-12.753796733428377
135,-13.935546288575464
136,-10.350973064331606
137,-183.75859257444512
138,-12.022523898545655
139,-13.04006253179769
140,-89.88483807063211
141,-13.248448546260535
142,-12.26383288798638
143,-93.67379465237431
144,-15.968452916235456
145,-13.368591309974704
146,-17.13273068284425
147,-10.134697415769143
148,-10.477659607246656
149,-13.57758910706072
150,-12.369760476386062
151,-10.501155640180928
152,-10.758799273518388
153,-12.021039307100128
154,-11.102098263249575
155,-9.999909161180074
156,-11.173135344499409
157,-12.824449118754458
158,-16.92956011118985
159,-84.05870802500911
160,-99.95278542165458
161,-10.901630363408014
162,-10.65818798948806
163,-13.368002260386202
164,-10.000758956212936
165,-11.19817045536268
166,-9.553831255471549
167,-16.652893887608588
168,-12.376616710205933
169,-10.292488435499006
170,-9.146901089152948
171,-12.876769549698611
172,-119.85344158668488
173,-147.76260608313754
174,-11.15719781483026
175,-8.647694799710303
176,-10.646469022444975
177,-12.603593068044168
178,-11.63551455163975
179,-14.181082822574506
180,-17.571350526998508
181,-113.91945702130907
182,-9.703801442071375
183,-11.997674752657423
184,-13.713383419051134
185,-10.685734564353373
186,-10.590330551000958
187,-8.92355888095708
188,-8.301478508955569
189,-9.660808509169923
190,-111.26346058319885
191,-28.061420879844786
192,-14.15922196368139
193,-9.986674905488378
194,-94.72042589476425
195,-7.363534375758777
196,-8.701291573005891
197,-95.61940536175014
198,-9.870353131898936
199,-105.8419881436887
200,-35.95115143767402
201,-7.647895414944282
202,-8.821385715657003
203,-7.119695979350226
204,-6.637044516933883
205,-9.122406075556558
206,-6.438656571019931
207,-6.923781005792254
208,-13.659814791951097
209,-8.142017244464968
210,-7.733475238327645
211,-14.56028320194823
212,-10.732007741615037
213,-6.451869616790776
214,-6.626814576681726
215,-5.869042516905792
216,-17.892348223461326
217,-7.262164792962062
218,-6.472664341394498
219,-5.9734219256587
220,-6.318600177616528
221,-7.715355345002868
222,-7.151659907968112
223,-9.603745089866976
224,-7.931763256248149
225,-5.058981532618906
226,-4.572303046302861
227,-7.720551474240947
228,-7.6535231421693615
229,-78.32130013197471
230,-6.898555058222347
231,-142.26913955238584
232,-7.746764798055082
233,-10.434216361257402
234,-11.199822137507674
235,-86.70221980835703
236,-6.7791852652785565
237,-9.146831265340579
238,-5.461571867103781
239,-77.29279869878138
240,-77.0280701866973
241,-5.306434824173354
242,-7.687101658354907
243,-3.987745790597675
244,-5.806317838400779
245,-5.718583915738744
246,-4.430868990050483
247,-7.376574133022856
248,-5.779113590623145
249,-7.12547637241647
250,-37.728149278288626
251,-4.674275958691019
252,-7.854062510708706
253,-34.754872193306035
254,-5.365409616162364
255,-3.8335351288442174
256,-6.767363050501936
257,-4.407172090015004
258,-42.395964010445
259,-4.9159848293551125
260,-4.193800425486545
261,-7.406264148071761
262,-68.2754890017756
263,-3.8414519531359415
264,-5.321156086210915
265,-3.7741178055914086
266,-143.37973205961734
267,-6.859733060419956
268,-31.64871929628659
269,-6.113114112090022
270,-5.372657338849911
271,-6.535330103698759
272,-109.22171336375327
273,-8.237156543706131
274,-8.980318522814663
275,-8.382200077770245
276,-11.072298163534702
277,-4.141978924021262
278,-6.480758196966525
279,-8.547610248860279
280,-6.725497477590935
281,-10.584711498396267
282,-5.211477033052641
283,-4.409745942071529
284,-8.07042388001924
285,-4.60672589042377
286,-6.166334909138948
287,-4.7223851363530365
288,-10.625502703546502
289,-6.139853484085366
290,-133.854413356789
291,-6.749032379151448
292,-55.99098962645987
293,-34.32432373169841
294,-7.496111221103984
